Bilan des notes de l'etape : Premiere annee,,,,,,,,,,,,,,,,,,,,
,,,Semestre 1,UE11,M1101,M1102,M1103,M1104,UE12,M1201,M1202,M1203,M1204-14,UE13,M1301,M1302,M1303,M1304,M1306,M1307
GMP1,,,,,,,,,,,,,,,,,,,,
Numero Apogee,Nom,Prenom,,,,,,,,,,,,,,,,,,
2015001,Name1,Firstname1,,,,,,,,,,,,,,,,,,
2015002,Name2,Firstname2,,,,,,,,,,,,,,,,,,
2015003,Name3,Firstname3,,,,,,,,,,,,,,,,,,
2015004,Name4,Firstname4,,,,,,,,,,,,,,,,,,
2015005,Name5,Firstname5,,,,,,,,,,,,,,,,,,
2015006,Name6,Firstname6,,,,,,,,,,,,,,,,,,
2015007,Name7,Firstname7,,,,,,,,,,,,,,,,,,
2015008,Name8,Firstname8,,,,,,,,,,,,,,,,,,
2015009,Name9,Firstname9,,,,,,,,,,,,,,,,,,
2015010,Name10,Firstname10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Semestre 2,UE21,M2101,M2102,M2103,M2104,UE22,M2201,M2202,M2203,M2204-14,UE23,M2301,M2302,M2303,M2304,M2305,M2308
GMP1,,,,,,,,,,,,,,,,,,,,
Numero Apogee,Nom,Prenom,,,,,,,,,,,,,,,,,,
20150011,Name11,Firstname11,,,,,,,,,,,,,,,,,,
20150012,Name12,Firstname12,,,,,,,,,,,,,,,,,,
20150013,Name13,Firstname13,,,,,,,,,,,,,,,,,,
20150014,Name14,Firstname14,,,,,,,,,,,,,,,,,,
20150015,Name15,Firstname15,,,,,,,,,,,,,,,,,,
20150016,Name16,Firstname16,,,,,,,,,,,,,,,,,,
20150017,Name17,Firstname17,,,,,,,,,,,,,,,,,,
20150018,Name18,Firstname18,,,,,,,,,,,,,,,,,,
20150019,Name19,Firstname19,,,,,,,,,,,,,,,,,,
20150020,Name20,Firstname20,,,,,,,,,,,,,,,,,,
