Bilan des notes de l'etape : Premiere annee,,,,,,,,,,,,,,,,,,,,
,,,Semestre 1,UE11,M1101,M1102,M1103,M1104,UE12,M1201,M1202,M1203,M1204-14,UE13,M1301,M1302,M1303,M1304,M1306,M1307
GMP1,,,,,,,,,,,,,,,,,,,,
Numero Apogee,Nom,Prenom,,,,,,,,,,,,,,,,,,
2015001,Mendes,Pierre,12,12,12,12,12,12,12,12,"12",12,12,"12",12,12,12,"12",12,12
2015002,Pericat,Etienne,11798,10468,10143,13,14056,5,11704,14798,"10,9","11,2",9,13084,16,12,13,"8,25","14,3",16
2015003,Gaume,Louis,9946,9611,8,13,14056,5,"10,7",11798,"10,9","11,2",9,9629,6,9,13,"8,25","7,3",16
2015004,Revuz,Yan,11129,14611,18,18,14056,5,"13,2",11798,"10,9","11,2",18,6265,6,9,2,"8,25","7,3",3
2015005,Gasmi,Karim,7929,5011,2,2,14056,5,"13,2",11798,"10,9","11,2",18,6265,6,9,2,"8,25","7,3",3
,,,,,,,,,,,,,,,,,,,,
,,,Semestre 2,UE21,M2101,M2102,M2103,M2104,UE22,M2201,M2202,M2203,M2204-14,UE23,M2301,M2302,M2303,M2304,M2305,M2308
GMP1,,,,,,,,,,,,,,,,,,,,
Numero Apogee,Nom,Prenom,,,,,,,,,,,,,,,,,,
2015001,Mendes,Pierre,12,12,12,12,12,12,12,12,"12",12,12,"12",12,12,12,"12",12,12
2015002,Pericat,Etienne,"9,55","9,8",12,8,12,5,9812,1,9,15,16,9166,8,10,10,10,12,6
2015003,Gaume,Louis,9946,9611,8,13,14056,5,"10,7",11798,"10,9","11,2",9,9629,6,9,13,"8,25","7,3",16
2015004,Revuz,Yan,"11,1","10,2",8,13,14,5,12625,10,9,15,16,10833,8,10,16,17,12,6
2015005,Gasmi,Karim,8266,"6,6",8,13,2,5,"8,25",10,9,15,2,9666,8,10,2,17,12,6
